BDF,MERCHANDISESTYLE_CODE,MERCHANDISESTYLE_COMMUNICATIONKEY,PRODUCT_ID,MARKE,MARKENGRUPPE,LAGERWARENTYP,VERWENDUNGSKENNZEICHEN,PRODUKTTYP,PBK,ITEMOPTION_COMMUNICATIONKEY,ITEMOPTION_H_SK,ARTIKELGROESSE,VARIATION_ID,ARTIKELNUMMER,ITEM_COMMUNICATIONKEY,ITEM_H_SK,URSPRUNG_SEASON,SEASON,LKZ,LIEFERANT_BEZEICHNUNG,MARKENKENNZEICHEN,MKZ,MKZ_BEZEICHNUNG,WARENGRUPPE,FT,OT,MARKTVERGLEICHSGRUPPE,ARTIKELSTATUS,SAISONKENNZEICHEN,SUB_KATEGORIE_ID,SUB_KATEGORIE_BEZEICHNUNG,KATEGORIE_ID,KATEGORIE_BEZEICHNUNG,KATEGORIE_DIRECT_ID,KATEGORIE_DIRECT_BEZEICHNUNG,NOS,VEK,BEK,STAMM_VK
0,JANAGELENK,1233553071,1233553071,JANASTYLE,Fremdmarke,LW,1,Armstulpen,Stulpen,1233554550,e166e3f5cd9f1cdb9b0502d38fa1478d,-,1233554550,87727045,1233544350,8b3029aca105a735838b57f2fae1ea8d,142,149,82229,GoForm GmbH,5408,209,Altenpflege,19.1.05.02,19,1,Baby & Kind,undefiniert,undefiniert,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,5.9,5.9,14.99
0,JANAGELENK,1233553071,1233553071,JANASTYLE,Fremdmarke,LW,1,Armstulpen,Stulpen,1233553989,202e8b7f17ce8557bf810822a7acc72a,-,1233553989,58805237,1233545545,8f0911aa30e6cbee06a8eb4b7989b238,142,149,82229,GoForm GmbH,5408,209,Altenpflege,19.1.05.02,19,1,Baby & Kind,undefiniert,undefiniert,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,5.9,5.9,14.99
2,V1049,1711746953,,PONT NEUF,Fremdmarke,LW,5,Steppjacke,20_1_3_Jacken,1711746954,4b11c37dc34a4e1e181f0e978ef2a037,XS,,13249739,1711746952,c55d47c3298c638e149fba36fa8be37b,148,149,41519,Pardon Clothing A/S,4674,142,Damen-Outdoorjacken,64.1.05.42,64,1,Damenmode,undefiniert,Normal,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,73.15,72.95,199.95
2,V1049,1711746953,,PONT NEUF,Fremdmarke,LW,5,Steppjacke,20_1_3_Jacken,1711746955,bc2a5ad701ff2eb61551db76452d85a6,S,,13249739,1711746952,c55d47c3298c638e149fba36fa8be37b,148,149,41519,Pardon Clothing A/S,4674,142,Damen-Outdoorjacken,64.1.05.42,64,1,Damenmode,undefiniert,Normal,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,73.15,72.95,199.95
2,V1049,1711746953,,PONT NEUF,Fremdmarke,LW,5,Steppjacke,20_1_3_Jacken,1711746957,71a3795616ab2083f498559c87bd4f0f,L,,13249739,1711746952,c55d47c3298c638e149fba36fa8be37b,148,149,41519,Pardon Clothing A/S,4674,142,Damen-Outdoorjacken,64.1.05.42,64,1,Damenmode,undefiniert,Normal,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,73.15,72.95,199.95
2,V1049,1711746953,,PONT NEUF,Fremdmarke,LW,5,Steppjacke,20_1_3_Jacken,1711746960,8f1a2e1100d7a48c12c3cf3818e659d3,XXXL,,13249739,1711746952,c55d47c3298c638e149fba36fa8be37b,148,149,41519,Pardon Clothing A/S,4674,142,Damen-Outdoorjacken,64.1.05.42,64,1,Damenmode,undefiniert,Normal,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,73.15,72.95,199.95
2,V1049,1711746953,,PONT NEUF,Fremdmarke,LW,5,Steppjacke,20_1_3_Jacken,1711746958,b2c05ffb375902e8d7d4c4583dfa6f89,XL,,13249739,1711746952,c55d47c3298c638e149fba36fa8be37b,148,149,41519,Pardon Clothing A/S,4674,142,Damen-Outdoorjacken,64.1.05.42,64,1,Damenmode,undefiniert,Normal,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,73.15,72.95,199.95
2,V1049,1711746953,,PONT NEUF,Fremdmarke,LW,5,Steppjacke,20_1_3_Jacken,1711746959,b3f11cb5cd00c16f10c4ea17167c88d3,XXL,,13249739,1711746952,c55d47c3298c638e149fba36fa8be37b,148,149,41519,Pardon Clothing A/S,4674,142,Damen-Outdoorjacken,64.1.05.42,64,1,Damenmode,undefiniert,Normal,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,73.15,72.95,199.95
2,V1049,1711746953,,PONT NEUF,Fremdmarke,LW,5,Steppjacke,20_1_3_Jacken,1711746956,2b0c4d59d926a3d50ff750771dad3c89,M,,13249739,1711746952,c55d47c3298c638e149fba36fa8be37b,148,149,41519,Pardon Clothing A/S,4674,142,Damen-Outdoorjacken,64.1.05.42,64,1,Damenmode,undefiniert,Normal,101,Mainstream,11,Fashion,1,Fashion & Sports,Nein,73.15,72.95,199.95
2,V2190,1672575914,,PONT NEUF,Fremdmarke,LW,5,Volantkleid,Kleider,1672575921,e8fd6d8e8629f00d5412d20ea7f8221e,XXXL,,42436953,1672575913,887251d1c21fb4b0f836ada83953029f,147,149,41519,Pardon Clothing A/S,4674,111,Damen-Kleider,64.1.05.42,64,1,Damenmode,undefiniert,Normal,101,Mainstream,11,Fashion,1,Fashion & Sports,Ja,40.15,39.95,109.95
